#Time_millis number_of_S number_of_I number_of_R
72057 105 138 257
72157 105 137 258
72257 105 137 258
72357 104 137 259
72458 106 136 258
72558 108 136 256
72658 108 136 256
72758 112 134 254
72858 112 132 256
72958 113 133 254
73059 113 129 258
73159 113 128 259
73259 112 129 259
73359 114 125 261
73459 117 121 262
73559 120 121 259
73660 123 121 256
73760 124 120 256
73860 127 118 255
73960 127 114 259
74060 129 113 258
74161 136 110 254
74261 138 108 254
74361 138 106 256
74461 141 103 256
74561 142 104 254
74662 142 102 256
74762 145 100 255
74862 146 98 256
74962 148 98 254
75062 153 98 249
75163 155 98 247
75263 155 100 245
75363 155 98 247
75463 156 100 244
75564 159 99 242
75664 163 98 239
75764 166 96 238
75864 165 96 239
75964 165 96 239
76065 167 94 239
76165 170 95 235
76265 174 96 230
76365 173 100 227
76465 174 100 226
76565 177 101 222
76666 178 102 220
76766 185 102 213
76866 187 101 212
76966 190 101 209
77066 190 100 210
77167 190 100 210
77267 192 99 209
77367 195 98 207
77467 198 99 203
77567 202 99 199
77668 207 97 196
77768 207 98 195
77868 212 100 188
77968 216 99 185
78068 216 99 185
78169 215 99 186
78269 218 99 183
78369 220 101 179
78469 223 100 177
78569 225 100 175
78669 225 102 173
78770 227 101 172
78870 227 103 170
78970 225 102 173
79070 230 102 168
79170 232 102 166
79270 238 103 159
79371 241 103 156
79471 243 99 158
79571 246 98 156
79671 245 98 157
79771 247 98 155
79871 250 98 152
79972 252 98 150
80072 251 99 150
80172 256 97 147
80272 257 98 145
80372 257 98 145
80473 263 98 139
80573 266 98 136
80673 268 99 133
80773 269 99 132
80873 270 97 133
80973 272 97 131
81074 273 96 131
81174 276 97 127
81274 276 97 127
81374 278 97 125
81474 280 97 123
81575 279 97 124
81675 279 98 123
81775 282 99 119
81875 286 99 115
81975 288 99 113
82075 288 100 112
82176 287 102 111
82276 288 102 110
82376 288 103 109
82476 286 104 110
82576 287 104 109
82676 286 104 110
82777 285 108 107
82877 288 107 105
82977 289 107 104
83077 292 108 100
83177 291 111 98
83277 291 111 98
83378 296 111 93
83478 300 110 90
83578 300 109 91
83678 300 109 91
83778 301 110 89
83878 302 110 88
83978 305 111 84
84079 308 111 81
84179 310 109 81
84279 314 108 78
84379 317 108 75
84479 317 110 73
84580 312 115 73
84680 313 116 71
84780 316 116 68
84880 315 117 68
84980 315 117 68
85080 314 119 67
85181 314 119 67
85281 314 119 67
85381 315 121 64
85481 314 122 64
85581 315 123 62
85682 314 124 62
85782 316 123 61
85882 315 127 58
85982 315 128 57
86082 317 129 54
86183 314 132 54
86283 312 134 54
86383 310 136 54
86483 309 138 53
86583 309 138 53
86683 308 140 52
86784 307 139 54
86884 308 139 53
86984 303 144 53
87084 304 145 51
87184 303 146 51
87285 301 148 51
87385 301 149 50
87485 296 154 50
87585 295 155 50
87685 296 156 48
87786 295 157 48
87886 292 160 48
87986 291 161 48
88086 289 164 47
88186 290 164 46
88287 289 165 46
88387 286 168 46
88487 283 172 45
88587 281 174 45
88687 280 175 45
88787 275 181 44
88888 273 183 44
88988 273 186 41
89088 273 187 40
89188 271 189 40
89288 269 191 40
89388 267 193 40
89489 268 196 36
89589 265 200 35
89689 264 202 34
89789 258 208 34
89889 258 209 33
89990 254 213 33
90090 250 217 33
90190 249 220 31
90290 241 227 32
90390 240 229 31
90491 240 228 32
90591 239 229 32
90691 236 231 33
90791 234 233 33
90891 236 234 30
90992 235 235 30
91092 235 236 29
91192 234 237 29
91292 234 238 28
91392 234 238 28
91493 230 242 28
91593 228 245 27
91693 224 249 27
91793 220 253 27
91893 220 253 27
91993 219 255 26
92094 216 258 26
92194 212 261 27
92294 208 265 27
92394 203 270 27
92494 201 273 26
92594 200 273 27
92694 200 274 26
92795 199 274 27
92895 194 279 27
92995 193 278 29
93095 191 279 30
93195 188 281 31
93295 186 283 31
93395 183 286 31
93496 180 289 31
93598 180 290 30
93699 179 290 31
93799 179 291 30
93899 176 294 30
93999 172 298 30
94099 169 301 30
94199 170 300 30
94300 169 302 29
94400 168 303 29
94500 161 309 30
94600 158 311 31
94700 154 315 31
94801 156 314 30
94901 153 317 30
95001 151 319 30
95101 150 319 31
95201 151 317 32
95301 150 317 33
95401 147 318 35
95502 144 320 36
95602 140 324 36
95702 140 325 35
95802 140 323 37
95902 140 322 38
96002 138 323 39
96103 135 325 40
96203 133 325 42
96303 133 324 43
96403 130 324 46
96503 129 323 48
96603 126 325 49
96704 122 328 50
96804 123 329 48
96904 120 332 48
97004 118 334 48
97104 115 335 50
97204 115 336 49
97305 114 338 48
97405 110 342 48
97505 105 346 49
97605 104 347 49
97705 101 350 49
97806 101 348 51
97906 99 349 52
98006 98 351 51
98106 94 354 52
98206 91 356 53
98306 91 356 53
98407 91 354 55
98507 90 355 55
98607 88 357 55
98707 88 355 57
98807 86 355 59
98907 77 364 59
99008 74 364 62
99108 72 366 62
99208 71 367 62
99308 71 366 63
99408 71 366 63
99508 70 367 63
99609 70 366 64
99709 67 369 64
99809 67 369 64
99909 66 369 65
100009 65 370 65
100109 64 370 66
100209 64 369 67
100310 65 369 66
100410 62 371 67
100510 62 372 66
100610 59 375 66
100710 59 375 66
100810 59 375 66
100911 57 376 67
101011 56 377 67
101111 56 377 67
101211 55 376 69
101311 55 376 69
101412 55 376 69
101512 54 376 70
101612 51 378 71
101712 48 381 71
101812 47 381 72
101912 45 383 72
102013 43 384 73
102113 43 382 75
102213 44 381 75
102313 45 381 74
102413 45 377 78
102514 44 378 78
102614 45 378 77
102714 44 377 79
102814 45 374 81
102914 46 374 80
103015 48 373 79
103115 49 373 78
103215 48 372 80
103315 48 372 80
103415 47 373 80
103515 47 374 79
103616 45 376 79
103716 45 377 78
103816 44 376 80
103916 42 377 81
104017 41 378 81
104117 41 378 81
104217 43 378 79
104317 43 378 79
104417 44 376 80
104517 44 374 82
104618 44 371 85
104718 44 370 86
104818 45 370 85
104918 44 369 87
105018 42 370 88
105119 43 369 88
105219 45 368 87
105319 45 367 88
105419 47 367 86
105519 46 368 86
105619 44 368 88
105720 44 368 88
105820 46 368 86
105920 47 364 89
106020 48 362 90
106120 49 361 90
106221 51 359 90
106321 52 357 91
106421 55 355 90
106521 55 355 90
106621 57 354 89
106721 57 353 90
106822 56 353 91
106922 54 353 93
107022 54 350 96
107122 56 348 96
107222 56 346 98
